,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
50,tensor(-0.00035227),tensor(1.38262512e-05),tensor(0.00046226),tensor(0.00070572),tensor(-6.46104527e-05),tensor(-0.00192843),tensor(-0.00012556),tensor(0.00109311),tensor(0.00094898),tensor(-0.00056933),tensor(0.00219032),tensor(-0.00082440),tensor(0.00204981),tensor(0.00191956),tensor(0.00120741),tensor(0.00039974),tensor(-0.00456218)
51,tensor(0.00100091),tensor(-0.00065631),tensor(-0.00119355),tensor(-0.00082976),tensor(0.00079079),tensor(0.00185508),tensor(8.36553445e-05),tensor(-0.00114543),tensor(-0.00110277),tensor(0.00056928),tensor(-0.00205123),tensor(0.00243450),tensor(-0.00040263),tensor(-0.00206062),tensor(-0.00183903),tensor(-0.00169488),tensor(-0.00685472)
52,tensor(-0.00039048),tensor(1.54121244e-05),tensor(0.00029293),tensor(0.00141594),tensor(-0.00164684),tensor(-0.00122745),tensor(0.00029101),tensor(0.00171844),tensor(0.00162697),tensor(-0.00047852),tensor(0.00239726),tensor(-0.00114050),tensor(0.00185008),tensor(0.00058670),tensor(0.00195392),tensor(0.00366217),tensor(0.01240519)
53,tensor(0.00102160),tensor(-0.00100044),tensor(-0.00121874),tensor(-0.00059154),tensor(0.00188513),tensor(0.00125898),tensor(-0.00047314),tensor(-0.00219795),tensor(-0.00240738),tensor(-0.00124951),tensor(-0.00226450),tensor(0.00267690),tensor(-0.00026377),tensor(-0.00108279),tensor(-0.00278927),tensor(-0.00374885),tensor(-0.01044435)
54,tensor(-0.00015789),tensor(-0.00017502),tensor(0.00114899),tensor(0.00056320),tensor(-0.00014970),tensor(-0.00233665),tensor(-0.00044052),tensor(-0.00148645),tensor(-0.00087903),tensor(-0.00085260),tensor(0.00197469),tensor(-0.00137581),tensor(-0.00103329),tensor(0.00027528),tensor(0.00074182),tensor(0.00203791),tensor(0.01057710)
55,tensor(0.00075016),tensor(0.00137999),tensor(-0.00088072),tensor(-0.00021639),tensor(-0.00116406),tensor(0.00158072),tensor(0.00014396),tensor(0.00119596),tensor(0.00040289),tensor(0.00094557),tensor(-0.00192535),tensor(0.00242312),tensor(0.00316151),tensor(-0.00071942),tensor(-0.00179342),tensor(-0.00323138),tensor(-0.00722446)
56,tensor(-0.00027815),tensor(-0.00088684),tensor(0.00082932),tensor(5.65911178e-05),tensor(-9.09198093e-07),tensor(-0.00257509),tensor(0.00058105),tensor(0.00193475),tensor(0.00186464),tensor(-0.00049311),tensor(0.00242444),tensor(-0.00114727),tensor(-0.00058185),tensor(0.00064669),tensor(0.00088527),tensor(0.00191661),tensor(0.00714102)
57,tensor(0.00127757),tensor(0.00156711),tensor(-0.00088823),tensor(0.00034015),tensor(0.00363848),tensor(0.00374149),tensor(-0.00062037),tensor(-0.00190370),tensor(-0.00201744),tensor(0.00043733),tensor(-0.00230927),tensor(0.00274431),tensor(0.00280594),tensor(-0.00092750),tensor(-0.00190643),tensor(-0.00283815),tensor(0.00093254)
58,tensor(0.00078962),tensor(-0.00085546),tensor(0.00076320),tensor(0.00050351),tensor(0.00236694),tensor(0.00274103),tensor(0.00031685),tensor(0.00178667),tensor(0.00181814),tensor(-0.00050970),tensor(0.00237207),tensor(-0.00077558),tensor(-0.00051177),tensor(0.00053863),tensor(0.00031171),tensor(0.00162244),tensor(0.01629315)
59,tensor(-8.72418168e-05),tensor(0.00013193),tensor(0.00085392),tensor(9.18295191e-05),tensor(-0.00030920),tensor(-0.00169620),tensor(-0.00055419),tensor(-0.00217534),tensor(-0.00241296),tensor(-0.00128796),tensor(-0.00234070),tensor(0.00151860),tensor(-0.00114259),tensor(-0.00221700),tensor(-0.00119415),tensor(-0.00233324),tensor(-0.00933838)
60,tensor(0.00095389),tensor(-0.00081666),tensor(-0.00135614),tensor(9.98656760e-05),tensor(-0.00165243),tensor(0.00073767),tensor(-0.00069229),tensor(-0.00219894),tensor(-0.00180082),tensor(-0.00108822),tensor(-0.00107167),tensor(-0.00054785),tensor(0.00300864),tensor(0.00154273),tensor(0.00072696),tensor(0.00168730),tensor(0.00139137)
61,tensor(-0.00020383),tensor(0.00055170),tensor(0.00171930),tensor(0.00087381),tensor(0.00388031),tensor(-0.00139682),tensor(0.00032293),tensor(0.00152229),tensor(0.00081876),tensor(-0.00080347),tensor(0.00221262),tensor(-0.00165361),tensor(-0.00163956),tensor(-0.00189837),tensor(-0.00185369),tensor(-0.00119077),tensor(0.00420947)
62,tensor(0.00066750),tensor(0.00122250),tensor(-0.00098572),tensor(0.00035820),tensor(-0.00023390),tensor(0.00243622),tensor(-0.00091445),tensor(-0.00236032),tensor(-0.00226508),tensor(0.00037920),tensor(-0.00214706),tensor(0.00184263),tensor(-0.00019702),tensor(-0.00134724),tensor(-0.00040217),tensor(-0.00134519),tensor(0.00401226)
63,tensor(0.00046823),tensor(6.71398884e-05),tensor(0.00082216),tensor(-0.00042245),tensor(0.00353395),tensor(-0.00139626),tensor(0.00093199),tensor(0.00249810),tensor(0.00224637),tensor(-0.00049254),tensor(0.00239725),tensor(-0.00058813),tensor(0.00196046),tensor(0.00084152),tensor(-0.00190554),tensor(-0.00134744),tensor(0.00497963)
64,tensor(0.00075637),tensor(-0.00041969),tensor(-0.00162114),tensor(0.00042066),tensor(-0.00279196),tensor(0.00041976),tensor(-0.00081894),tensor(-0.00229186),tensor(-0.00227744),tensor(0.00053970),tensor(-0.00218219),tensor(0.00238636),tensor(0.00012922),tensor(-0.00129867),tensor(0.00053382),tensor(-0.00044264),tensor(-0.00498057)
65,tensor(-0.00053441),tensor(-0.00203297),tensor(0.00095235),tensor(-7.36837028e-05),tensor(0.00209692),tensor(-0.00161961),tensor(0.00095896),tensor(0.00259801),tensor(0.00231661),tensor(-0.00045966),tensor(0.00235191),tensor(-0.00124718),tensor(0.00098796),tensor(0.00106981),tensor(-0.00036711),tensor(9.29010566e-05),tensor(0.00035795)
66,tensor(0.00146319),tensor(0.00246018),tensor(-0.00098124),tensor(0.00156597),tensor(0.00211489),tensor(0.00242645),tensor(-0.00087876),tensor(-0.00226303),tensor(-0.00175385),tensor(-0.00107813),tensor(-0.00090835),tensor(0.00223039),tensor(8.99746228e-05),tensor(0.00170157),tensor(0.00132822),tensor(0.00196214),tensor(0.01308125)
67,tensor(0.00028868),tensor(0.00032447),tensor(0.00087921),tensor(2.71744848e-05),tensor(-0.00012472),tensor(-0.00152964),tensor(7.69276085e-05),tensor(0.00097470),tensor(-0.00027444),tensor(-0.00093123),tensor(-0.00196613),tensor(-0.00113250),tensor(0.00191436),tensor(-0.00196751),tensor(-0.00234609),tensor(-0.00220964),tensor(0.00051882)
68,tensor(0.00104149),tensor(0.00142620),tensor(-0.00139300),tensor(9.76814772e-05),tensor(0.00242420),tensor(0.00290471),tensor(-0.00053905),tensor(-0.00185367),tensor(-0.00142162),tensor(0.00073778),tensor(0.00173519),tensor(-0.00099438),tensor(-0.00066794),tensor(-0.00235878),tensor(-0.00054081),tensor(-0.00172125),tensor(0.00315176)
69,tensor(-0.00068799),tensor(-0.00261423),tensor(0.00057286),tensor(-4.62513563e-05),tensor(-0.00100495),tensor(-0.00143050),tensor(0.00101026),tensor(0.00222399),tensor(0.00124854),tensor(-0.00062615),tensor(-0.00164296),tensor(0.00169791),tensor(-0.00051984),tensor(0.00256130),tensor(-0.00164119),tensor(-0.00129002),tensor(0.00331558)
70,tensor(0.00192591),tensor(0.00299708),tensor(-0.00102201),tensor(7.50273612e-05),tensor(0.00180098),tensor(0.00228693),tensor(-0.00117159),tensor(-0.00255279),tensor(-0.00202480),tensor(-0.00129822),tensor(0.00156005),tensor(-0.00058363),tensor(0.00294181),tensor(-0.00264970),tensor(-0.00035653),tensor(-0.00075840),tensor(-0.00806649)
71,tensor(0.00096662),tensor(0.00062027),tensor(-0.00186968),tensor(0.00048661),tensor(-0.00012994),tensor(-0.00162835),tensor(0.00015714),tensor(-0.00134779),tensor(-0.00140798),tensor(0.00070313),tensor(-0.00170419),tensor(0.00316818),tensor(0.00278863),tensor(-0.00111579),tensor(-0.00079360),tensor(1.34336606e-05),tensor(0.00337204)
72,tensor(-0.00017628),tensor(-0.00128365),tensor(0.00207381),tensor(-4.18009404e-05),tensor(0.00116253),tensor(0.00178909),tensor(-0.00015408),tensor(0.00080972),tensor(-2.69029370e-05),tensor(-0.00070298),tensor(-0.00083881),tensor(0.00157278),tensor(-0.00105574),tensor(0.00070473),tensor(0.00045114),tensor(0.00017972),tensor(0.00018124)
73,tensor(0.00111280),tensor(0.00168563),tensor(-0.00146928),tensor(0.00021421),tensor(-0.00050380),tensor(0.00159159),tensor(-0.00012244),tensor(-0.00160677),tensor(-0.00114674),tensor(-0.00097119),tensor(0.00210150),tensor(-0.00088679),tensor(0.00191042),tensor(-0.00148018),tensor(-0.00182830),tensor(-0.00198469),tensor(-0.00399587)
74,tensor(0.00061344),tensor(0.00093522),tensor(0.00137708),tensor(-0.00062692),tensor(0.00221524),tensor(-0.00108500),tensor(0.00025954),tensor(0.00129775),tensor(0.00038573),tensor(-0.00077697),tensor(-0.00041988),tensor(0.00261163),tensor(-0.00027748),tensor(0.00065476),tensor(-0.00281706),tensor(-0.00233150),tensor(0.00160514)
